number,category,categories,state,created,labels,title
2131,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:sdk,safe-retirement: agent-facing guidance advertises an x402 resume trigger that nothing can emit
2130,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:docs,"safe-retirement: two live architecture-doc sections still present the approval queue as reachable (07-edge-signer, 06-hosted-mcp-connect-flow)"
2126,false-instrument,false-instrument,CLOSED,2026-08-27,code-quality|area:frontend,screenshot fixture: pay-1/pay-2 seed a payment_flow_status machinePaymentLifecycle cannot produce
2124,stale-doc,stale-doc,CLOSED,2026-08-27,code-quality|area:docs,docs-quality-system.md does not mention the queue-framing census — the two gates get confused for each other
2121,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:docs,safe-retirement: 04-x402-payment-sequence.md presents the deleted approval queue as reachable on the live rail
2120,rail-retirement,rail-retirement,CLOSED,2026-08-27,area:frontend,safe-retirement: finish #2106 — dead approval presentation logic and fabricated approval state in fixtures
2118,rail-retirement,rail-retirement,CLOSED,2026-08-27,enhancement|money-path|area:backend,safe-retirement: the approval-keyed evidence/reconciliation SQL builders are now fully unreachable
2117,logic-bug,logic-bug,CLOSED,2026-08-27,bug|money-path|area:backend|area:sdk,Fortnox reporting feed: a 7710 payment is invisible forever when the settlement hash is never reported — passive settlement observation needed (#2092 residual)
2116,process,process,CLOSED,2026-08-27,code-quality|area:docs,ship-next: post-merge health check can read a stale head SHA when auto-merge updates the branch
2115,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:backend|area:sdk,safe-retirement: the payment-status response still tells agents to wait for an approval that cannot arrive
2110,rail-retirement,rail-retirement|contract-drift,CLOSED,2026-08-27,enhancement|area:backend,safe-retirement: passport controls.rail documents an 'allowance' value the emitter can never produce
2108,flake,flake,CLOSED,2026-08-27,area:frontend,screenshot harness cannot capture on a cold worktree: 90s readiness timeout vs a 315-448s cold `next dev`
2107,rail-retirement,rail-retirement|process,CLOSED,2026-08-27,enhancement|area:backend,"safe-retirement: gate retired-rail prose in CI, so the epic can actually finish"
2106,rail-retirement,rail-retirement|copy-ux,CLOSED,2026-08-27,enhancement|area:frontend,safe-retirement: the dashboard tells delegation users their agent has no on-chain limits
2105,rail-retirement,rail-retirement|contract-drift,CLOSED,2026-08-27,enhancement|area:backend,safe-retirement: the OpenAPI spec documents the retired rail as the live contract
2103,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:docs,safe-retirement: backend-worker role instructions tell agents to route over-allowance spend to approval
2102,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:docs,safe-retirement: hosted-MCP and connect-flow docs still describe the approval queue as live
2101,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:mcp,safe-retirement: hosted MCP + local MCP runtime prose still offers a pending_approval outcome
2100,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-27,enhancement|area:sdk,safe-retirement: SDK tool descriptions still name the Safe AllowanceModule as the spend path
2098,stale-doc,stale-doc,CLOSED,2026-08-27,code-quality|area:mcp,Stale comment: haven_resume_x402_payment says an over-budget erc7710 authorize returns pending_signature
2097,logic-bug,logic-bug,CLOSED,2026-08-26,bug|money-path|area:frontend|area:backend,"Transaction history: erc7710 rows render ""Payment sent by you"" for agent-initiated payments — initiator semantics and record format must be scheme-agnostic"
2095,logic-bug,logic-bug,CLOSED,2026-08-26,code-quality|area:backend,Index payment_intents.tx_hash — the erc7710 replay guard sequential-scans on every confirm
2094,logic-bug,logic-bug,CLOSED,2026-08-26,code-quality|money-path|area:backend,erc7710: make the settlement child intent-unique so a settlement can be attributed exactly
2092,logic-bug,logic-bug,CLOSED,2026-08-26,bug|money-path|area:backend|area:sdk,"erc7710 payments never produce evidence — invisible to Fortnox sync, receipts, and transaction history; make settlement reporting scheme-agnostic"
2091,feature,feature,CLOSED,2026-08-26,area:sdk|area:docs,Connect --json: runtime_undetermined refusal must carry allowed runtime values machine-readably (Codex setup deadlock)
2089,rail-retirement,rail-retirement|copy-ux,CLOSED,2026-08-26,enhancement|area:frontend,safe-retirement: /design-system EmptyState showcase cards still carry approvals copy
2088,process,process,CLOSED,2026-08-26,enhancement|area:docs,docs: Markdown under packages/** is outside the docs-quality system entirely
2087,rail-retirement,rail-retirement,CLOSED,2026-08-26,enhancement|area:backend,safe-retirement: qa-agent pilot scripts drive routes that now answer 410/400
2086,rail-retirement,rail-retirement|copy-ux,CLOSED,2026-08-26,enhancement|area:mcp,safe-retirement: MCP consent copy describes the retired rail's approval queue as the live spend gate
2085,rail-retirement,rail-retirement,CLOSED,2026-08-26,enhancement|area:backend,"safe-retirement: unreachable `approval_request` branches in modules/mpp/{evidence,reconciliation}.ts"
2084,rail-retirement,rail-retirement,CLOSED,2026-08-26,enhancement|area:backend,safe-retirement: drop the inert `allowance_nonce_watermarks` table
2082,rail-retirement,rail-retirement,CLOSED,2026-08-26,enhancement|money-path|area:backend,safe-retirement: erc7710 authorize pre-checks the remaining budget — fail-fast refusal before a signable child is built
2081,feature,feature,CLOSED,2026-08-26,area:qa,feat(qa-agent): preflight should report the delegation treasury balance
2080,rail-retirement,rail-retirement,CLOSED,2026-08-26,area:qa,chore(qa-agent): retire or port the session-rail pilot scripts (dead since #834)
2077,rail-retirement,rail-retirement,CLOSED,2026-08-26,code-quality|area:qa,fix(qa-agent): throwaway identity sends retired `allowances` to POST /agents (400)
2074,flake,flake,CLOSED,2026-08-26,qa-failure,qa-dev money-flow failed (2026-08-26)
2073,copy-ux,copy-ux,CLOSED,2026-08-26,code-quality|area:frontend,Signer gate: name the wrong-wallet state distinctly (follow-up to #2068)
2068,logic-bug,logic-bug,CLOSED,2026-08-25,code-quality|area:frontend,Signer precedence: connected-EOA branch never checks the wallet IS the account's owner
2067,copy-ux,copy-ux,CLOSED,2026-08-25,code-quality|area:frontend,Wallet-menu popover: bound the disclosure variant's height against the hero/banner stack
2063,rail-retirement,rail-retirement|copy-ux,CLOSED,2026-08-25,code-quality|area:frontend,Queue-and-approve framing survives in product copy and agent-facing handoff text outside /design-system
2055,rail-retirement,rail-retirement,CLOSED,2026-08-25,enhancement|money-path|area:backend,safe-retirement: drop approval_requests — delete the residual approvals surface and re-anchor its readers
2054,logic-bug,logic-bug,CLOSED,2026-08-25,code-quality|area:sdk|area:mcp,haven_pay_mcp_tool and haven_prepare_catalog_purchase cannot pay an erc7710-ONLY merchant (buildX402Quote hard-throws)
2051,security,security,CLOSED,2026-08-25,money-path|area:sdk|area:mcp,Merchant-controlled payment_required bypasses the user's max_amount cap on erc7710 (measured: 900 USDC authorized against a 1 USDC cap)
2049,false-instrument,false-instrument,CLOSED,2026-08-25,code-quality|money-path|area:backend,test(casp): the Red Line #4 structural guard misses namespace and dynamic imports
2048,rail-retirement,rail-retirement,CLOSED,2026-08-25,code-quality|area:backend,test: six suites still vi.mock a module #1987 deleted (allowance-nonce-watermarks)
2046,false-instrument,false-instrument,CLOSED,2026-08-25,code-quality,"Tooltip's 1000ms touch-to-mouse suppression window is asserted, not measured"
2044,false-instrument,false-instrument,CLOSED,2026-08-25,code-quality|money-path|area:backend,"casp: three unfalsifiable spies in the Red Line #4 regulatory suite — an empty-set guard, not a cosmetic one"
2043,copy-ux,copy-ux,CLOSED,2026-08-25,code-quality,"McpServerName's ""not recorded"" explanation is essential copy behind a hover-only tooltip"
2041,logic-bug,logic-bug,CLOSED,2026-08-25,money-path|area:sdk|area:mcp,Generic plain-HTTP x402 (haven_pay_x402_quote) cannot reach erc7710 — always takes the EIP-3009 funding leg
2038,copy-ux,copy-ux,CLOSED,2026-08-25,code-quality,"Tooltip content is unreachable by touch and keyboard, and cannot wrap"
2036,false-instrument,false-instrument,CLOSED,2026-08-25,code-quality|area:frontend,"Capture harness cannot tell a rendered route from one still showing ""Loading…"""
2030,feature,feature,CLOSED,2026-08-25,area:docs,Decide Haven's position on AP2 (Google's Agent Payments Protocol)
2027,logic-bug,logic-bug,CLOSED,2026-08-25,code-quality|money-path|area:backend,POST /safe/exec broadcasts twice with no durable outbound record — decide whether the exec and its passkey-signer deploy earn one
2025,logic-bug,logic-bug,CLOSED,2026-08-25,money-path|area:backend,A revoked agent can still be granted and activated a fresh budget delegation — loadOwnedDelegationAgent never selects a.status
2023,logic-bug,logic-bug,CLOSED,2026-08-25,money-path|area:backend,Over-budget is NOT refused at authorize on erc7710 — the preferred scheme returns 201 pending_signature for any amount
2021,rail-retirement,rail-retirement,CLOSED,2026-08-25,question|money-path|area:backend,"safe-retirement: approval_requests — DECISION needed, dropping it contradicts ""accounts/history stay READABLE"" and 500s GET /transactions on every rail"
2020,rail-retirement,rail-retirement,CLOSED,2026-08-25,enhancement|money-path|area:backend|area:sdk,safe-retirement: retire the agent_allowances surface — GET /agents reads it for ALL agents before the account_type branch
2017,logic-bug,logic-bug,CLOSED,2026-08-25,code-quality,Approvers badge infers 'Wallet' from the absence of a Haven passkey row
2016,flake,flake,CLOSED,2026-08-25,qa-failure,qa-dev money-flow failed (2026-08-25)
2012,security,security|false-instrument,CLOSED,2026-08-24,code-quality|area:backend,safe-retirement: the QA seed reuses a REVOKED agent and grants it a fresh budget
2011,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|area:backend,safe-retirement: qa-dev still hard-requires a legacy QA identity that can no longer be created
2007,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|area:backend,"safe-retirement: the qa-agent seed still creates its Safe through POST /user/safes, which has answered 410 since #1984"
2006,false-instrument,false-instrument,CLOSED,2026-08-24,code-quality|area:frontend,No committed way to LOOK at 320px: the evidence harness renders 1280/390 only
2004,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|money-path|area:backend,safe-retirement: re-base CASP Red Line #4 onto the delegation rail — prove the caveat enforcers are the final gate
2002,stale-doc,stale-doc,CLOSED,2026-08-24,code-quality|area:frontend|area:docs,design-system.md § 6 has no rule for permanently-open showcase copies of dialog/overlay primitives
1999,logic-bug,logic-bug,CLOSED,2026-08-24,code-quality|area:frontend,"Table's responsive collapse is viewport-keyed, but the variable that matters is container width"
1998,flake,flake,CLOSED,2026-08-24,code-quality,"Frontend browser smoke can fail at collection for an unbuilt @haven_ai/core, the same latent gap #1996 fixed in the visual gate"
1995,logic-bug,logic-bug,CLOSED,2026-08-24,code-quality|area:frontend,AllowanceBar decides the reset from CHAIN time but formats the countdown from the DEVICE clock
1994,logic-bug,logic-bug,CLOSED,2026-08-24,code-quality|area:backend,PUT /user/safe writes the legacy mirror and the user_safes row in two un-transacted queries
1993,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|area:backend|area:docs,safe-retirement: residue audit — repo-wide sweep and a guard that nothing routes to the legacy rail
1992,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-24,enhancement|area:docs,"safe-retirement: product docs — CLAUDE.md component model, README non-custody, security model"
1991,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|area:docs,safe-retirement: regulatory rewrite — CASP guardrails re-based on the delegation rail
1990,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|money-path|area:backend,safe-retirement: DB migration — drop safe_approver_metadata (agent_allowances + approval_requests split out to #2020/#2021)
1989,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|area:frontend,safe-retirement: frontend deletion — legacy Safe surfaces
1988,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|money-path|area:backend,safe-retirement: backend deletion B — safe-deploy/exec/approvers routes and deployers
1987,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|money-path|area:backend,safe-retirement: backend deletion A — AllowanceModule rail and allowance-nonce machinery
1986,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|money-path|area:backend,safe-retirement: fail closed — HTTP 410 on payments and x402 for the allowance_module rail
1985,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|money-path|area:backend,safe-retirement: on-chain cleanup — wind down the relayer-owned Safe and revoke stale allowances
1984,rail-retirement,rail-retirement,CLOSED,2026-08-24,enhancement|money-path|area:frontend|area:backend,"safe-retirement: close the inflow — disable Safe deploy/import, Hybrid-only onboarding"
1982,stale-doc,stale-doc,CLOSED,2026-08-24,code-quality|area:frontend,"WalletPopover's `presentational` role swap is mis-justified in its comments — the live reason is the raw DOM query, not screen-reader exposure"
1980,logic-bug,logic-bug,CLOSED,2026-08-24,code-quality|area:frontend,UnmanagedDelegateCard became reachable with #1971 and offers no way to revoke — while /custody tells the user to do exactly that
1975,false-instrument,false-instrument,CLOSED,2026-08-24,code-quality|area:frontend,WalletPopover's presentational escape hatch is guarded by review only — one test would make it self-enforcing
1971,false-instrument,false-instrument,CLOSED,2026-08-24,code-quality|area:frontend,"Screenshot fixture is on a chain the app has no wagmi transport for, so every on-chain surface captures its empty branch"
1969,logic-bug,logic-bug,CLOSED,2026-08-24,area:frontend,A user with no device-marker passkey gets no passkey signer at all — useActiveSigner never reaches the Hybrid branch
1968,process,process,CLOSED,2026-08-24,area:docs,"Record the reviewer verdict in the PR body, and let a clean design re-review re-arm auto-merge on its own"
1961,feature,feature,CLOSED,2026-08-24,documentation,Docs staleness audit (weekly)
1959,security,security,CLOSED,2026-08-23,area:backend,DNS-TXT ownership path has no IP-literal refusal — the well-known path's second floor does not exist there
1956,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,"`/investor-briefing` shows two identical ""Contact the team"" CTAs in the first screenful"
1955,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,`/investor-briefing`'s sticky-header CTA is a 36px touch target on mobile
1954,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,Three more decorative trailing arrows on the landing page carry no `aria-hidden`
1952,logic-bug,logic-bug,CLOSED,2026-08-23,area:frontend,WalletButton hides 'Signing with' in exactly the case an arbitrary passkey is about to sign
1947,rail-retirement,rail-retirement|stale-doc,CLOSED,2026-08-23,area:frontend|area:docs,"/design-system teaches the queue-and-approve model unscoped — it is false on the delegation rail, the base for new accounts"
1946,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,"DelegationSendModal, contacts and ComingSoonModal put their action rows inside ui/Modal's scroll body instead of the footer prop"
1945,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,"Four --v2-shadow-* tokens paint nothing: shadow-[var(...)] compiles to a shadow COLOUR, so Cards, Modal panels and popovers render flat"
1944,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:frontend,WalletButton's collapsed connected-avatar and wrong-network states have no rendered evidence
1943,flake,flake,CLOSED,2026-08-23,code-quality|area:frontend,"screenshot.mjs intermittently fails /design-system's full-page capture with ""scroll root #main-content not found"""
1940,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,Decorative trailing arrows on marketing CTAs carry no `aria-hidden`
1939,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:frontend,`npm run screenshot` cannot capture any marketing route — every capture comes back a deleted blank
1937,copy-ux,copy-ux,CLOSED,2026-08-23,area:frontend,Backup & recovery card's loadError renders neutral — an unknown recovery posture looks like an empty panel
1936,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:frontend,"Route capture: `#main-content` not found is a ProtectedRoute race, and its error message blames the shell instead"
1935,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:frontend,Screenshot scenario: EditAgentModal's budget list has no rendered evidence at any commit
1933,other,other,CLOSED,2026-08-23,code-quality|area:frontend,Device-marker passkey selector is implemented twice: delegationPasskeySigner inlines what signer.ts's hybridPasskeyOnDevice already does
1930,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:frontend,Four surfaces from #1924 are unreachable from the fixture layer: file the gap instead of synthesising
1927,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:docs,delegation-rail-security-model.md's passkey-selection claim is verified against the wrong file — lib/delegationPasskeySigner.ts is uncovered
1924,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:frontend,"AgentPanel EmptyStates, AgentCard warning banners, ErrorBoundary and UnmanagedDelegateCard have no rendered evidence anywhere"
1923,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,Two functionally identical 'remove budget row' icon buttons sit on different icon rungs (12 vs 14)
1916,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:docs,delegation-rail-security-model.md's covers: still misses the signer-management and owner-send clients
1915,logic-bug,logic-bug,CLOSED,2026-08-23,code-quality|area:sdk|area:mcp,connect/doctor: a directory holding only rekey-pending.json is invisible to --doctor
1911,security,security,CLOSED,2026-08-23,code-quality|area:sdk|area:mcp,connect/doctor: an abandoned re-key holds live private-key material and nothing reports it
1910,logic-bug,logic-bug,CLOSED,2026-08-23,code-quality|area:sdk|area:mcp,"connect: --repair rewrites the BARE MCP pair for a named agent, clobbering the wrong entries"
1909,copy-ux,copy-ux,CLOSED,2026-08-23,area:frontend,"AgentCard's action row: the archived branch's focus ring has zero bottom clearance, and 'Restore to list' wraps on Linux desktop"
1905,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality,"The money-path list guards a 12-line re-export shim while the real machine-payment logic sits in packages/core, unlisted"
1904,other,other,CLOSED,2026-08-23,code-quality,"The general 'fifth copy' detector #1899 sketched cannot be threshold-tuned — measured, and what to do instead"
1903,false-instrument,false-instrument,CLOSED,2026-08-23,area:docs,The money-path glob list has no frontend paths at all — the client that picks a signing scheme is invisible to it
1899,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality,Nothing stops a FOURTH copy of the money-path list — the bidirectional guard only knows the copies that existed when it was written
1898,false-instrument,false-instrument,CLOSED,2026-08-23,area:docs,"delegation-rail-security-model.md's covers: misses the re-key CLIENT, so §6a's own subject cannot trip the coupling gate"
1897,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality,modules/machine-payments/** is a dead glob on the money-path list — the directory does not exist
1896,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality,"packages/signer/** is money-path nowhere, while packages/sdk/src/signer.ts is — the edge signer holds the delegate key"
1893,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,"ui/Modal's scrolling body has no continuation cue, and #1887 made that the only thing pointing at the forward action"
1892,false-instrument,false-instrument,CLOSED,2026-08-23,area:docs,ship-next's money-path file list omits routes/agent-rekey.ts — half the union is silently inert for that route
1890,logic-bug,logic-bug,CLOSED,2026-08-23,money-path|area:frontend,dashboard: use the re-key revoke's signature_scheme — unblock passkey owners and drop the lying local type
1888,process,process,CLOSED,2026-08-23,code-quality|area:frontend,"Every screenshot run rm -rf's the last one, and it cost a design review its largest claim"
1887,copy-ux,copy-ux,CLOSED,2026-08-23,code-quality|area:frontend,"What #1879's corrected clip guard newly exposed: a 1060px mobile scroll on a destructive step, and an undiagnosed 66px residual"
1886,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:frontend,measureHiddenBelowFold has no durable regression gate — and the obvious jsdom test cannot fail
1885,false-instrument,false-instrument,CLOSED,2026-08-23,code-quality|area:docs,chain-sweep.mjs cannot see a `chain-reset` declared on today's line — the two #1496 docs will be re-triaged forever
1882,process,process,CLOSED,2026-08-23,code-quality|area:docs,Seven more docs carry an unrestored `last-verified` chain break — the #1876 sweep result
1880,false-instrument,false-instrument,CLOSED,2026-08-22,area:frontend,/design-system shows only ApprovalRequiredBanner's neutral tone — the warning and danger steps of the ladder are uncatalogued
1879,false-instrument,false-instrument,CLOSED,2026-08-22,area:frontend,"shoot()'s clip guard measures the target it is handed, so every getByRole('dialog') capture reports zero — 38 PNGs at risk, measured"
1878,logic-bug,logic-bug,CLOSED,2026-08-22,area:frontend|area:backend|area:mcp,"The wiring slug never reaches Haven, so the dashboard cannot show which harness entry is which agent"
1877,copy-ux,copy-ux,CLOSED,2026-08-22,area:frontend,"The sidebar popover's inset focus ring is pixel-flush against the popover's own border — #1831's residual, now measured"
1876,process,process,CLOSED,2026-08-22,area:docs,ship-playbooks/frontend.md's last-verified chain dropped #1447 — a pre-existing break that will ambush the next editor
1874,stale-doc,stale-doc,CLOSED,2026-08-22,code-quality,ci.yml's `ci_config_checks` step name under-describes what it runs
1873,false-instrument,false-instrument,CLOSED,2026-08-22,area:frontend,The driven focus gate reaches 6 of #1831's 11 indicators — the other 5 need agent states the fixture never renders
1870,logic-bug,logic-bug,CLOSED,2026-08-22,money-path|area:backend,"Re-key's revoke leg is signing-scheme-blind — a passkey-owned account cannot complete a re-key, and nothing says so"
1869,stale-doc,stale-doc,CLOSED,2026-08-22,code-quality|area:docs,docs-quality-system.md still documents the same-day suppression that #1824 removed
1868,logic-bug,logic-bug,CLOSED,2026-08-22,money-path|area:backend,"A re-key abandoned after the revoke wedges the agent's in-flight slot permanently, and abandoning does not restore its authority"
1867,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,White-on-brand CTA pattern: two of its three instances carry no focus-visible treatment at all
1863,false-instrument,false-instrument,CLOSED,2026-08-22,area:frontend,The sidebar capture covers its resting state only — #1831's eleven focus indicators are still seen by no capture
1858,stale-doc,stale-doc,CLOSED,2026-08-22,code-quality|area:docs,"design-system.md § 5 says icons are 14/16/20px 'exactly'; 34 of 114 sized call sites are not, incl. eight arbitrary-value sizes"
1857,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,"Ten raw arrows across seven gated files bypass lucide, incl. the shared Address primitive"
1856,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,SendModal's review step has never been screenshotted — no URL reaches it and no scenario exists
1854,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:docs,Coupling gate flags the QA run-report template on every visual-baseline regeneration
1852,logic-bug,logic-bug,CLOSED,2026-08-22,area:frontend,"ReceiveFundsModal throws on an unresolved chain, and names the network with full confidence when it does render"
1850,process,process,CLOSED,2026-08-22,code-quality,"BASELINE_PUSH_TOKEN is unset, so every baseline regeneration deadlocks the open PR"
1849,logic-bug,logic-bug,CLOSED,2026-08-22,money-path|area:backend,planCarry conflates the period the meter was read in with the period we issue into — a boundary crossing can leave an agent with zero authority for a period it was owed a full budget in
1847,logic-bug,logic-bug,CLOSED,2026-08-22,,A re-key today leaves the passport attestation anchored to the retired delegate — #1698 merged ahead of #1699
1846,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,ConfiguredAllowanceRow's bar is always 100% full and now looks like a spend meter
1844,logic-bug,logic-bug|security,CLOSED,2026-08-22,area:frontend,AddFundsModal defaults an unresolved chain to Base mainnet — in the deposit copy and the onramp URL
1843,false-instrument,false-instrument,CLOSED,2026-08-22,,"A deleted doc paragraph passes every gate we have — the coupling gate asks whether a doc was touched, never whether it still says what it said"
1840,stale-doc,stale-doc,CLOSED,2026-08-22,,design-system.md § 5 claims arrow chevrons come from lucide; TransactionMovement renders a unicode →
1833,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,Dashboard mobile: transaction rows overlap — a fixed 72px height against a layout that only splits at sm:
1830,stale-doc,stale-doc,CLOSED,2026-08-22,code-quality|area:frontend,"Button variant=""tertiary"" is undocumented in the design system Buttons table"
1827,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,Transaction-history showcase title wraps to five lines in a 71px measure at exactly 768px
1826,process,process,CLOSED,2026-08-22,code-quality|area:docs,Decide whether packages/cli/src/** belongs in CASP covers: (found while shipping #1739)
1824,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:docs,The coupling gate's same-day suppression hides real doc/code mismatches — a date stamped by unrelated work silences every other PR that day
1820,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,Visual gate scope-captures the top bar but not the sidebar — the other half of the same chrome
1819,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,Destructive controls with no focus ring at all: Sidebar logout and AgentCard revoke/remove
1818,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,"TopBar's background compiles to nothing: an opacity modifier on a bare var() colour, for the third time"
1817,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,"Button variant=""danger"" focuses brand: the solid-fill half of the destructive tone rule"
1816,process,process,CLOSED,2026-08-22,code-quality|area:frontend,playwright.config.ts reuses whatever is on :3000 — a local e2e run in one worktree can test another branch's app
1815,stale-doc,stale-doc,CLOSED,2026-08-22,code-quality|area:docs,"README's release recipe says ""merge to main"", which the dev-gate would reject — a release PR aimed at main fails by design"
1813,other,other,CLOSED,2026-08-22,area:frontend,HostedConnectCard has no production call site — an orphaned second connect surface with its own runtime picker
1809,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,Destructive icon button in contacts hovers danger but focuses brand (the last sibling from #1792)
1805,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,"Visual regression cannot see the whole TopBar: 0.5% of a 29,012px-tall capture is a 56,573px budget"
1803,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,"TopBar is over-subscribed at 320px: something must be dropped, not squeezed"
1801,process,process,CLOSED,2026-08-22,code-quality,"Concurrent sessions share one scratchpad, so PR bodies can be overwritten mid-flight by another session"
1800,process,process,CLOSED,2026-08-22,code-quality|area:frontend,npm run screenshot binds port 3111 in every worktree — a second session captures the other branch's app and the PNGs look plausible
1797,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,Dialog overflow guard never runs at a mobile viewport
1795,stale-doc,stale-doc,CLOSED,2026-08-22,area:docs,"scripts/README.md contradicts itself on the package count — ""four published packages"" at the top, ""all five"" further down"
1793,feature,feature,CLOSED,2026-08-22,code-quality|area:backend|area:docs,"No operations runbook for the stuck-revoke alarm, which is now the only signal for an unconverged revocation"
1792,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,Destructive icon buttons disagree on focus-ring tone: AgentBudgetCard hovers danger but focuses brand
1791,process,process,CLOSED,2026-08-22,money-path|area:docs,"The documented manual-publish fallback strands @haven_ai/cli — 4 of 5 packages, on the path used mid-incident"
1790,feature,feature,CLOSED,2026-08-22,money-path|area:docs,release-bump could write the Supported Runtime Manifest re-pin it already verifies
1789,process,process,CLOSED,2026-08-22,area:docs,"CASP release shards are named for a PR number that does not exist yet, and the two docs disagree on the convention"
1788,process,process,CLOSED,2026-08-22,code-quality|money-path|area:docs,release-bump.mjs signs off by telling you to run npm publish by hand — and names four of the five packages
1787,stale-doc,stale-doc,CLOSED,2026-08-22,area:docs,Two gravity files describe qa-freshness as weaker than it is — one calls hotfix/* a bypass when a money-path hotfix blocks outright
1779,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,Mobile-shell guards measure relative to boxes that move with the defect — three specs missed a 32px shift of the whole app shell
1777,process,process,CLOSED,2026-08-22,code-quality|area:frontend,BASELINE_PUSH_TOKEN deadlock has cost four sessions a step each — Update visual baselines cannot push to a PR branch
1774,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,"TransactionMovement strands its arrow on its own line below ~180px, and drives a ~230px transaction row on mobile"
1773,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,Horizontal-overflow guards are blind to content inside fixed-position modals
1772,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,/transactions content region overflows its scroll box at 393px — the table has no overflow-x-auto wrapper
1771,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,expectNoHorizontalOverflow cannot fail on any authenticated route — the shell clips before the document grows
1768,false-instrument,false-instrument,CLOSED,2026-08-22,code-quality|area:frontend,No mobile viewport has gating CI coverage — chromium-mobile only runs on manual dispatch
1767,copy-ux,copy-ux,CLOSED,2026-08-22,code-quality|area:frontend,Mobile sidebar toggle is not aligned with the spacer TopBar reserves for it
